entity_id,slug,name,type,status,priority,ticker,exchange,currency,geography,sector,industry,business_lines,description,search_keywords,connected_entities,last_retrieval_at,last_report_date,last_source_count,confidence,owner_notes
entity_google,google,Google / Alphabet,company,active,1,GOOGL,Public market,USD,Global,Company,"AI, search, cloud, TPU, autonomy, ads",Reporting lens | Key KPIs,"Google / Alphabet is tracked because AI, search, cloud, TPU, autonomy, ads. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.",Google|Alphabet|GOOG|GOOGL|Gemini|DeepMind|TPU|search ads,openai|anthropic|nvidia|tsmc|datacenters|energy|waymo|digital_ads|cloud_market,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_humanoid_robots,humanoid_robots,Humanoid robots,sector,active,1,,Private / thematic,USD,Global,Sector,Major long-term labor automation theme,Demand drivers | Constraints,"Humanoid robots is tracked as a system-level node because Major long-term labor automation theme. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",humanoid robots|general purpose robots|embodied AI|robot labor|Humanoid robots|Humanoid robots report,tesla|figure_ai|agility_robotics|apptronik|unitree_robotics|boston_dynamics|nvidia|robot_actuators|robot_sensors,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_lithium,lithium,Lithium,commodity,active,1,,Private / thematic,USD,Global,Commodity,Core battery commodity,"Pricing follows battery-grade carbonate/hydroxide supply-demand balance; leading indicators are EV/storage demand, brine/spodumene expansions, and Chinese converter margins. | Bootstrap focus","Lithium is tracked as a key input and pricing signal because Core battery commodity. The bootstrap emphasizes supply-demand, price transmission, and downstream exposure.",lithium|lithium carbonate|lithium hydroxide|brine|spodumene|Lithium|Lithium report,tesla|catl|albemarle|sqm|battery_storage|ev_market,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_meta,meta,Meta,company,active,1,META,Public market,USD,Global,Company,"Open-source AI, ads, social distribution, compute capex",Reporting lens | Key KPIs,"Meta is tracked because Open-source AI, ads, social distribution, compute capex. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.",Meta|Facebook|Instagram|Llama|Reality Labs|AI ads|Meta investor relations|Meta annual report,openai|google|nvidia|datacenters|energy|digital_ads|vr_ar_market,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_microsoft,microsoft,Microsoft,company,active,1,MSFT,Public market,USD,Global,Company,"OpenAI distribution, enterprise AI, cloud capex",Reporting lens | Key KPIs,"Microsoft is tracked because OpenAI distribution, enterprise AI, cloud capex. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.",Microsoft|Azure|Copilot|OpenAI|cloud|AI agents|Microsoft investor relations|Microsoft annual report,openai|nvidia|datacenters|energy|cloud_market,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_nvidia,nvidia,Nvidia,company,active,1,NVDA,Public market,USD,Global,Company,Core AI infrastructure bottleneck and valuation anchor,Reporting lens | Key KPIs,Nvidia is tracked because Core AI infrastructure bottleneck and valuation anchor. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Nvidia|NVDA|GPU|H100|H200|B100|Blackwell|CUDA,tsmc|sk_hynix|micron|datacenters|openai|anthropic|google|meta|amazon|microsoft|broadcom,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_oil,oil,Oil,commodity,active,1,,Private / thematic,USD,Global,Commodity,"Tracks EV displacement, macro, and transport energy","Pricing reflects OPEC supply discipline, global transport demand, geopolitics, and substitution from EV adoption at the margin. | Bootstrap focus","Oil is tracked as a key input and pricing signal because Tracks EV displacement, macro, and transport energy. The bootstrap emphasizes supply-demand, price transmission, and downstream exposure.",oil|crude|Brent|WTI|OPEC|gasoline|diesel|Oil,energy|automotive_market|ev_market|natural_gas,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_openai,openai,OpenAI,private_company,active,1,,Private / thematic,USD,Global,Private Company,Core AI model/platform entity,"OpenAI should be tracked by its core products/services, strategic growth vectors, and capital intensity. | Bootstrap focus",OpenAI is tracked because Core AI model/platform entity. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,OpenAI|ChatGPT|GPT|inference|AI agents|Sora|OpenAI official site|OpenAI product update,microsoft|nvidia|datacenters|energy|anthropic|google|meta|xai,2026-06-20T21:36:24Z,2026-06-20,2,0.55,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_robotaxi_autonomy,robotaxi_autonomy,Robotaxi and autonomy,technology,active,1,,Private / thematic,USD,Global,Technology,Potential winner-take-most transportation platform,Demand drivers | Constraints,"Robotaxi and autonomy is tracked as a system-level node because Potential winner-take-most transportation platform. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",robotaxi|autonomous driving|FSD|self-driving|AV market|Robotaxi and autonomy|Robotaxi and autonomy report,tesla|waymo|zoox|automotive_market|ai_inference_economics,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_solar,solar,Solar energy,sector,active,1,,Private / thematic,USD,Global,Sector,Renewable supply side for storage and AI electricity demand,Demand drivers | Constraints,"Solar energy is tracked as a system-level node because Renewable supply side for storage and AI electricity demand. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",solar|photovoltaics|PV|solar modules|inverters|utility solar|Solar energy|Solar energy report,energy|battery_storage|electricity_grid|silver|copper,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_spacex,spacex,SpaceX,private_company,active,1,,Private / thematic,USD,Global,Private Company,"Private space infrastructure anchor; linked to launch costs, satellite internet, defense, Mars optionality",Business lines | Key KPIs,"SpaceX is tracked because Private space infrastructure anchor; linked to launch costs, satellite internet, defense, Mars optionality. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.",SpaceX|Starship|Falcon|Starlink|launch market|reusable rockets|SpaceX official site|SpaceX product update,starlink|space_launch_market|satellite_internet|amazon_kuiper|rocket_lab|elon_musk,2026-06-20T21:36:24Z,2026-06-20,2,0.55,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_tsmc,tsmc,TSMC,company,active,1,TSM,Public market,USD,Global,Company,Critical semiconductor manufacturing bottleneck,Reporting lens | Key KPIs,TSMC is tracked because Critical semiconductor manufacturing bottleneck. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,TSMC|Taiwan Semiconductor|advanced node|CoWoS|foundry|TSMC investor relations|TSMC annual report,nvidia|apple|amd|broadcom|asml|china_taiwan_risk,2026-06-21T09:58:46Z,2026-06-21,4,0.68,Daily run 2026-06-21: Taiwan macro data reinforced AI-demand concentration and geopolitical concentration risk.
entity_xai,xai,xAI,private_company,active,1,,Private / thematic,USD,Global,Private Company,Elon-linked AI company; possible Tesla/robotics/data-center synergies,Business lines | Key KPIs,xAI is tracked because Elon-linked AI company; possible Tesla/robotics/data-center synergies. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,xAI|Grok|Colossus|AI training cluster|inference|xAI official site|xAI product update,tesla|nvidia|datacenters|energy|openai|anthropic|google|meta|elon_musk,2026-06-20T21:36:24Z,2026-06-20,2,0.55,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_agility_robotics,agility_robotics,Agility Robotics,private_company,active,2,,Private / thematic,USD,Global,Private Company,Warehouse humanoid/commercial robot deployment signal,"Agility Robotics should be tracked by its core products/services, strategic growth vectors, and capital intensity. | Bootstrap focus",Agility Robotics is tracked because Warehouse humanoid/commercial robot deployment signal. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Agility Robotics|Digit robot|warehouse robot|Agility Robotics official site|Agility Robotics product update,humanoid_robots|amazon|logistics_automation,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_ai_agents,ai_agents,AI agents,technology,active,2,,Private / thematic,USD,Global,Technology,Software demand layer for model providers,Demand drivers | Constraints,"AI agents is tracked as a system-level node because Software demand layer for model providers. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",AI agents|autonomous agents|workflow automation|tool use|AI agents report,openai|anthropic|google|microsoft|meta|xai,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_ai_inference_economics,ai_inference_economics,AI inference economics,market,active,2,,Private / thematic,USD,Global,Market,Key variable for AI monetization and infrastructure demand,Demand drivers | Constraints,"AI inference economics is tracked as a system-level node because Key variable for AI monetization and infrastructure demand. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",inference cost|tokens|GPU utilization|model serving|AI margins|AI inference economics|AI inference economics report,openai|anthropic|nvidia|datacenters|energy,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_albemarle,albemarle,Albemarle,company,active,2,ALB,Public market,USD,Global,Company,Lithium producer and commodity-cycle signal,Business lines | Key KPIs,Albemarle is tracked because Lithium producer and commodity-cycle signal. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Albemarle|lithium producer|lithium carbonate|lithium hydroxide|Albemarle investor relations|Albemarle annual report,lithium|tesla|battery_storage|ev_market,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_amazon_kuiper,amazon_kuiper,Amazon Kuiper,private_company,active,2,,Private / thematic,USD,Global,Private Company,Starlink competitor,"Amazon Kuiper should be tracked by its core products/services, strategic growth vectors, and capital intensity. | Bootstrap focus",Amazon Kuiper is tracked because Starlink competitor. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Project Kuiper|Amazon satellite internet|LEO broadband|Amazon Kuiper official site|Amazon Kuiper product update,amazon|starlink|satellite_internet|spacex,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_amd,amd,AMD,company,active,2,AMD,Public market,USD,Global,Company,Nvidia challenger and AI compute pricing pressure,Reporting lens | Key KPIs,AMD is tracked because Nvidia challenger and AI compute pricing pressure. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,AMD|MI300|MI350|EPYC|AI GPU|AMD investor relations|AMD annual report,nvidia|tsmc|microsoft|datacenters,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_apple,apple,Apple,company,active,2,AAPL,Public market,USD,Global,Company,Consumer AI distribution and custom silicon,Reporting lens | Key KPIs,Apple is tracked because Consumer AI distribution and custom silicon. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Apple|iPhone|Apple Intelligence|edge AI|silicon|Apple investor relations|Apple annual report,arm|tsmc|google|ai_consumer_devices,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_apptronik,apptronik,Apptronik,private_company,active,2,,Private / thematic,USD,Global,Private Company,Humanoid competitor and industrial deployment signal,"Apptronik should be tracked by its core products/services, strategic growth vectors, and capital intensity. | Bootstrap focus",Apptronik is tracked because Humanoid competitor and industrial deployment signal. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Apptronik|Apollo robot|humanoid robot|Apptronik official site|Apptronik product update,humanoid_robots|logistics_automation|nvidia,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_arm,arm,Arm,company,active,2,ARM,Public market,USD,Global,Company,CPU architecture and edge/mobile AI exposure,Reporting lens | Key KPIs,Arm is tracked because CPU architecture and edge/mobile AI exposure. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Arm|ARM|CPU IP|mobile processors|datacenter CPU|Arm investor relations|Arm annual report,nvidia|apple|amazon,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_aws,aws,AWS,company,active,2,AMZN,Public market,USD,Global,Company,Amazon's cloud and AI infra engine,Business lines | Key KPIs,AWS is tracked because Amazon's cloud and AI infra engine. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,AWS|Amazon Web Services|cloud|Trainium|Inferentia|AWS investor relations|AWS annual report,amazon|anthropic|nvidia|cloud_market|datacenters|energy,2026-06-20T21:36:24Z,2026-06-20,3,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_broadcom,broadcom,Broadcom,company,active,2,AVGO,Public market,USD,Global,Company,Custom AI silicon and networking exposure,Reporting lens | Key KPIs,Broadcom is tracked because Custom AI silicon and networking exposure. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Broadcom|AVGO|custom ASIC|networking|VMware|Broadcom investor relations|Broadcom annual report,google|meta|openai|datacenters,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_byd,byd,BYD,company,active,2,1211.HK,Public market,USD,Global,Company,Tesla's most important EV and battery competitor,Reporting lens | Key KPIs,BYD is tracked because Tesla's most important EV and battery competitor. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,BYD|electric vehicles|batteries|China EV|BYD investor relations|BYD annual report,tesla|ev_market|catl|lithium|automotive_market,2026-06-20T21:36:24Z,2026-06-20,2,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_charging_infrastructure,charging_infrastructure,EV charging infrastructure,infrastructure,active,2,,Private / thematic,USD,Global,Infrastructure,EV adoption bottleneck and Tesla network asset,"EV charging infrastructure should be tracked through demand drivers, supply constraints, pricing, and leading indicators.","EV charging infrastructure is tracked as a system-level node because EV adoption bottleneck and Tesla network asset. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",EV charging|Supercharger|NACS|fast charging|charging stations|EV charging infrastructure|EV charging infrastructure report,tesla|ev_market|electricity_grid|energy,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_china_taiwan_risk,china_taiwan_risk,China-Taiwan geopolitical risk,regulation,active,2,,Private / thematic,USD,Global,Regulation,Tail risk for global semiconductor supply,"China-Taiwan geopolitical risk should be tracked through policy text, enforcement, exemptions, and supply-chain spillovers.","China-Taiwan geopolitical risk is tracked because policy constraints can change supply, demand, valuation, and strategic behavior across the stack.",Taiwan risk|China Taiwan|semiconductor supply chain|invasion risk|China-Taiwan geopolitical risk|China-Taiwan geopolitical risk report,tsmc|asml|nvidia,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_cloud_market,cloud_market,Cloud infrastructure market,market,active,2,,Private / thematic,USD,Global,Market,"Tracks cloud share, AI workloads, capex, pricing",Demand drivers | Constraints | Leading indicators,"Cloud infrastructure market is tracked as a system-level node because Tracks cloud share, AI workloads, capex, pricing. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",cloud market|hyperscaler|IaaS|PaaS|GPU cloud|Cloud infrastructure market|Cloud infrastructure market report,amazon|microsoft|google|oracle|datacenters|nvidia,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_dario_amodei,dario_amodei,Dario Amodei,person,active,2,,Private / thematic,USD,Global,Person,Key person for Anthropic strategy,"Anthropic strategy setter; monitor enterprise adoption, safety positioning, and capital intensity. | Bootstrap focus",Dario Amodei is tracked as a key-person and strategy connector because Key person for Anthropic strategy.,Dario Amodei|Anthropic|Claude|AI safety|Dario Amodei interview|Dario Amodei strategy,anthropic|amazon|google|openai,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_digital_ads,digital_ads,Digital advertising market,market,active,2,,Private / thematic,USD,Global,Market,"Revenue pool for Google, Meta, Amazon",Demand drivers | Constraints,"Digital advertising market is tracked as a system-level node because Revenue pool for Google, Meta, Amazon. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",digital ads|search ads|social ads|ad pricing|performance ads|Digital advertising market|Digital advertising market report,google|meta|amazon|ai_agents,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_figure_ai,figure_ai,Figure AI,private_company,active,2,,Private / thematic,USD,Global,Private Company,Important private humanoid competitor,"Figure AI should be tracked by its core products/services, strategic growth vectors, and capital intensity. | Bootstrap focus",Figure AI is tracked because Important private humanoid competitor. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Figure AI|Figure 01|Figure 02|humanoid robot|Helix|Figure AI official site|Figure AI product update,humanoid_robots|openai|nvidia|tesla,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_graphite,graphite,Graphite,commodity,active,2,,Private / thematic,USD,Global,Commodity,Battery anode bottleneck and China exposure,"Pricing and supply risk hinge on anode demand growth, synthetic-vs-natural mix, and China processing concentration. | Bootstrap focus","Graphite is tracked as a key input and pricing signal because Battery anode bottleneck and China exposure. The bootstrap emphasizes supply-demand, price transmission, and downstream exposure.",graphite|battery anode|synthetic graphite|natural graphite|Graphite|Graphite report,battery_storage|ev_market,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_industrial_automation,industrial_automation,Industrial automation,sector,active,2,,Private / thematic,USD,Global,Sector,Incumbent baseline for robot disruption,"Industrial automation should be tracked through demand drivers, supply constraints, pricing, and leading indicators.","Industrial automation is tracked as a system-level node because Incumbent baseline for robot disruption. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",factory automation|robotics|PLC|industrial software|Industrial automation|Industrial automation report,fanuc|abb_robotics|rockwell_automation|siemens|humanoid_robots,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_jensen_huang,jensen_huang,Jensen Huang,person,active,2,,Private / thematic,USD,Global,Person,Key person for AI hardware strategy,"Nvidia strategy setter; monitor product cadence, supply-chain coordination, and hyperscaler relationships. | Bootstrap focus",Jensen Huang is tracked as a key-person and strategy connector because Key person for AI hardware strategy.,Jensen Huang|Nvidia|AI chips|GPUs|Jensen Huang interview|Jensen Huang strategy,nvidia|datacenters,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_lg_energy_solution,lg_energy_solution,LG Energy Solution,company,active,2,373220.KS,Public market,USD,Global,Company,Major global battery supplier,Business lines | Key KPIs,LG Energy Solution is tracked because Major global battery supplier. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,LG Energy Solution|EV batteries|battery storage|LG Energy Solution investor relations|LG Energy Solution annual report,tesla|battery_storage|lithium|ev_market,2026-06-20T21:36:24Z,2026-06-20,2,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
