source_id,platform,name,url,priority,entities,source_type,quality_notes,bias_notes,retrieval_frequency
solving_the_money_problem_youtube,youtube,Solving The Money Problem,https://www.youtube.com/@SolvingTheMoneyProblem,P2,tesla;robotaxi_autonomy;humanoid_robots;xai;elon_musk,investment_video,"Bullish Tesla, autonomy and AI narrative tracking",Strong Tesla bull bias; use as sentiment/narrative source,manual
farzad_mesbahi_youtube,youtube,Farzad Mesbahi,https://www.youtube.com/@FarzadMesbahi,P2,tesla;robotaxi_autonomy;manufacturing;elon_musk;xai,interview_video,"Former Tesla perspective, interviews and Tesla ecosystem commentary",Tesla-focused; verify claims independently,manual
karpathy_youtube,youtube,Andrej Karpathy,https://www.youtube.com/@AndrejKarpathy,P0,ai_agents;openai;tesla;llms;software;education,technical_video,"Deep AI, neural networks and LLM technical education",Educational source; not market-focused,manual
latent_space_substack,substack,Latent Space,https://www.latent.space/,P0,ai_agents;openai;anthropic;google;meta;microsoft;developer_platforms,technical_research,"Builder-focused AI engineering, model ecosystem, agents and AI products",Engineering/product lens; not valuation-focused,daily
understanding_ai_substack,substack,Understanding AI,https://www.understandingai.org/,P0,openai;anthropic;google;meta;waymo;robotaxi_autonomy;ai_policy,technical_research,"Clear AI technical, business and policy analysis",Generalist AI analysis; verify company-specific numbers,weekly
chinatalk_substack,substack,ChinaTalk,https://www.chinatalk.media/,P0,china_taiwan_risk;semiconductors;tsmc;asml;nvidia;us_china_chip_controls;china_supply_chain,policy_research,"China technology, semiconductor policy and geopolitics",Policy/geopolitical lens,weekly
construction_physics_substack,substack,Construction Physics,https://www.construction-physics.com/,P0,datacenters;electricity_grid;energy;infrastructure;industrial_automation;construction,technical_research,"Infrastructure, construction, industrial technology and physical bottlenecks",Context-heavy; not daily news source,weekly
doomberg_substack,substack,Doomberg,https://newsletter.doomberg.com/,P1,energy;oil;natural_gas;commodities;geopolitics;macro,commodity_research,"Energy, commodities, macro and geopolitics with contrarian framing",Strong editorial stance; use as thesis challenge,weekly
apricitas_substack,substack,Apricitas Economics,https://www.apricitas.io/,P1,macro;rates;inflation;labor;commodities;energy,macro_research,"Macro context for rates, inflation, demand cycles and valuation",Macro source; indirect entity coverage,weekly
the_transcript_substack,substack,The Transcript,https://thetranscript.substack.com/,P1,public_companies;earnings;software;semiconductors;energy;consumer,earnings_digest,Earnings-call extraction and management commentary tracking,Digest source; verify against original transcripts,weekly
stratechery,website,Stratechery,https://stratechery.com/,P1,apple;google;meta;amazon;microsoft;openai;ai_agents;digital_ads,strategy_research,"Technology strategy, platforms, aggregation theory and AI business models",Paid content; strategic rather than technical,weekly
not_boring,website,Not Boring,https://www.notboring.co/,P1,spacex;openai;ai_agents;energy;hard_tech;private_companies,longform_research,Long-form business and technology narratives on hard tech and startups,Narrative-heavy; verify numbers separately,manual
the_robot_report,website,The Robot Report,https://www.therobotreport.com/,P1,humanoid_robots;robotics;industrial_automation;agility_robotics;figure_ai;unitree_robotics,industry_research,"Robotics industry news, products, deployments and funding",Industry news source; verify technical claims,weekly
ark_invest_research,website,ARK Invest Research,https://www.ark-invest.com/research,P2,tesla;robotaxi_autonomy;ai_agents;energy;bitcoin;genomics,investment_research,Long-term disruptive innovation models and market sizing,Strong growth-investing bias; useful for bullish scenario checks,manual
iea_reports,website,International Energy Agency,https://www.iea.org/reports,P0,energy;oil;natural_gas;solar;battery_storage;electricity_grid;ev_market,primary_research,"Energy, EV, renewables and commodity market data",Institutional assumptions; compare with market data,monthly
eia_reports,website,US Energy Information Administration,https://www.eia.gov/,P0,oil;natural_gas;energy;electricity_grid;solar;commodities,primary_data,"US energy statistics, oil/gas inventories, power generation data",US-focused; supplement with global sources,weekly
rmi,website,RMI,https://rmi.org/,P1,energy;solar;battery_storage;ev_market;electricity_grid;industrial_decarbonization,energy_research,"Energy transition, electrification and industrial decarbonization research",Transition-focused institutional lens,monthly
elon_musk_x,x,Elon Musk,https://x.com/elonmusk,P0,tesla;spacex;xai;neuralink;humanoid_robots;robotaxi_autonomy;elon_musk,primary_x,Primary narrative and announcement source for Elon ecosystem,Very noisy; verify material claims with official filings/sources,daily
ashok_elluswamy_x,x,Ashok Elluswamy,https://x.com/aelluswamy,P0,tesla;robotaxi_autonomy;humanoid_robots;ai_agents,technical_x,Tesla AI/autonomy technical signal,Company insider; promotional bias possible,daily
andrej_karpathy_x,x,Andrej Karpathy,https://x.com/karpathy,P0,ai_agents;openai;tesla;llms;software;robotaxi_autonomy,technical_x,"High-signal AI, LLM and software commentary",Usually technical; not financial,daily
green_x,x,green,https://x.com/greentheonly,P0,tesla;robotaxi_autonomy;software;hardware,technical_x,"Tesla software, firmware and hardware reverse-engineering",Unofficial; verify with primary sources,daily
limiting_factor_x,x,The Limiting Factor,https://x.com/limitingthe,P0,tesla;battery_storage;lithium;catl;panasonic_energy;ev_market,technical_x,Battery and Tesla technical follow-up to YouTube source,Tesla/battery-focused; verify with primary sources,daily
semianalysis_x,x,SemiAnalysis,https://x.com/SemiAnalysis_,P0,nvidia;semiconductors;datacenters;openai;anthropic;google;meta;amazon;microsoft,technical_x,Fast signal for SemiAnalysis research and AI infrastructure,Often links paid research; use metadata only,daily
teortaxes_x,x,Teortaxes,https://x.com/teortaxesTex,P0,ai_agents;openai;anthropic;nvidia;datacenters;ai_inference_economics,technical_x,"AI, compute economics, inference and semiconductors",Unofficial expert commentary,daily
sam_altman_x,x,Sam Altman,https://x.com/sama,P0,openai;ai_agents;datacenters;energy;ai_policy,primary_x,Primary OpenAI leadership narrative source,Executive narrative; verify announcements,daily
greg_brockman_x,x,Greg Brockman,https://x.com/gdb,P0,openai;ai_agents;developer_platforms;llms,primary_x,OpenAI technical/company signal,Executive narrative; verify announcements,daily
openai_devs_x,x,OpenAI Developers,https://x.com/OpenAIDevs,P0,openai;developer_platforms;ai_agents;llms,primary_x,"OpenAI API, agents and developer product signal",Official product signal,daily
anthropic_x,x,Anthropic,https://x.com/AnthropicAI,P0,anthropic;claude;ai_agents;ai_policy;enterprise_ai,primary_x,"Primary Anthropic product, research and policy source",Official source; promotional framing possible,daily
google_deepmind_x,x,Google DeepMind,https://x.com/GoogleDeepMind,P0,google;gemini;ai_agents;robotics;science_ai,primary_x,Primary Google DeepMind research/product signal,Official source; promotional framing possible,daily
meta_ai_x,x,Meta AI,https://x.com/AIatMeta,P0,meta;llama;open_source_ai;ai_agents;datacenters,primary_x,Primary Meta AI research/product signal,Official source; promotional framing possible,daily
yann_lecun_x,x,Yann LeCun,https://x.com/ylecun,P1,meta;ai_agents;open_source_ai;ai_research,technical_x,Technical AI research commentary and Meta AI perspective,Opinionated research perspective,daily
demis_hassabis_x,x,Demis Hassabis,https://x.com/demishassabis,P1,google;deepmind;gemini;science_ai;ai_agents,primary_x,Google DeepMind leadership signal,Executive narrative; verify announcements,daily
jeff_dean_x,x,Jeff Dean,https://x.com/JeffDean,P1,google;ai_agents;tpu;ml_systems;datacenters,technical_x,Google ML systems and AI research signal,Technical/research lens,daily
nvidia_x,x,Nvidia,https://x.com/nvidia,P1,nvidia;semiconductors;datacenters;ai_hardware;robotics,primary_x,Primary Nvidia product and event announcements,Official marketing; verify numbers via IR,daily
patrick_moorhead_x,x,Patrick Moorhead,https://x.com/PatrickMoorhead,P1,semiconductors;nvidia;amd;intel;cloud_market;datacenters,analyst_x,"Analyst coverage across chips, cloud and enterprise tech",Analyst/vendor access lens,daily
servethehome_x,x,ServeTheHome,https://x.com/ServeTheHome,P1,datacenters;nvidia;servers;networking;semiconductors,technical_x,"Practical data-center hardware, servers, networking and accelerators",Hardware-focused; not valuation-focused,daily
jigar_shah_x,x,Jigar Shah,https://x.com/JigarShahDC,P1,energy;solar;battery_storage;electricity_grid;energy_finance,expert_x,"Energy finance, DOE, deployment and grid signal",Policy/deployment perspective,daily
javier_blas_x,x,Javier Blas,https://x.com/JavierBlas,P1,oil;natural_gas;commodities;energy;geopolitics,expert_x,Commodity and energy market signal,Journalist commentary; verify data sources,daily
rory_johnston_x,x,Rory Johnston,https://x.com/Rory_Johnston,P1,oil;natural_gas;opec;energy;commodities,expert_x,"Oil market balances, OPEC and crude analysis",Commodity specialist; may link paid work,daily
doomberg_x,x,Doomberg,https://x.com/DoombergT,P1,energy;oil;natural_gas;commodities;macro;geopolitics,expert_x,"Contrarian energy, commodities and macro signal",Strong editorial stance; use as thesis challenge,daily
joe_lowry_x,x,Joe Lowry,https://x.com/globallithium,P1,lithium;battery_storage;ev_market;catl;tesla,expert_x,Lithium market specialist commentary,Specialist perspective; verify pricing data,daily
figure_ai_x,x,Figure AI,https://x.com/Figure_robot,P1,figure_ai;humanoid_robots;robotics;ai_agents,primary_x,Primary humanoid robotics company source,Official promotional framing,daily
unitree_robotics_x,x,Unitree Robotics,https://x.com/UnitreeRobotics,P1,unitree_robotics;humanoid_robots;china_robotics;robotics,primary_x,Primary Unitree robotics product signal,Official promotional framing,daily
agility_robotics_x,x,Agility Robotics,https://x.com/agilityrobotics,P1,agility_robotics;humanoid_robots;logistics_automation;robotics,primary_x,Primary Digit/commercial robotics source,Official promotional framing,daily
boston_dynamics_x,x,Boston Dynamics,https://x.com/BostonDynamics,P1,boston_dynamics;humanoid_robots;robotics;industrial_automation,primary_x,Primary robotics benchmark and product source,Official promotional framing,daily
sawyer_merritt_x,x,Sawyer Merritt,https://x.com/SawyerMerritt,P2,tesla;spacex;xai;elon_musk;ev_market,aggregator_x,"Fast Tesla, SpaceX and Elon ecosystem news aggregation",Aggregator; verify before using,daily
whole_mars_catalog_x,x,Whole Mars Catalog,https://x.com/WholeMarsBlog,P2,tesla;robotaxi_autonomy;fsd;elon_musk,sentiment_x,Tesla FSD user-side evidence and sentiment,Strong Tesla/FSD bias; use as sentiment source,daily
marques_brownlee_x,x,Marques Brownlee,https://x.com/MKBHD,P2,tesla;ev_market;ai_consumer_devices;apple;google,product_x,High-reach product reviews and consumer technology signal,Consumer perspective; not technical deep-dive source,manual
